Gene	# Structural Variant	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
SEC22B	1	1	479	0.2%	No
BDP1	1	1	479	0.2%	No
ERAS	1	1	479	0.2%	No
FOCAD	2	2	479	0.4%	No
LRP1	2	2	479	0.4%	No
NDUFB5	1	1	479	0.2%	No
PRCC	1	1	479	0.2%	Yes
PPM1H	3	3	479	0.6%	No
NDUFB1	1	1	479	0.2%	No
LRP3	1	1	479	0.2%	No
PRCP	1	1	479	0.2%	No
FOXK1	1	1	479	0.2%	No
LRP6	1	1	479	0.2%	Yes
CECR2	1	1	479	0.2%	No
IFI16	2	2	479	0.4%	No
PTPRZ1	1	1	479	0.2%	No
ZNF627	1	1	479	0.2%	No
TP53INP1	1	1	479	0.2%	No
PCBD1	1	1	479	0.2%	No
SLC25A21	3	3	479	0.6%	No
ZNF622	1	1	479	0.2%	No
SLC25A23	1	1	479	0.2%	No
BEND7	2	2	479	0.4%	No
SEC23B	2	2	479	0.4%	No
ATP9A	1	1	479	0.2%	No
AKAIN1	1	1	479	0.2%	No
PTPN1	1	1	479	0.2%	Yes
SEC24A	2	2	479	0.4%	No
ERAP2	1	1	479	0.2%	No
MGA	2	2	479	0.4%	Yes
IMMT	1	1	479	0.2%	No
MBOAT2	3	3	479	0.6%	No
TPD52L1	1	1	479	0.2%	No
USH2A	1	1	479	0.2%	No
SLC25A39	1	1	479	0.2%	No
ZNF618	1	1	479	0.2%	No
NOVA1	1	1	479	0.2%	No
DOP1B	2	2	479	0.4%	No
ZNF615	1	1	479	0.2%	No
ZNF614	1	1	479	0.2%	No
VIPAS39	1	1	479	0.2%	No
SLC25A31	1	1	479	0.2%	No
PTPN4	1	1	479	0.2%	No
FCGR2C	1	1	479	0.2%	No
SMAP1	1	1	479	0.2%	No
PTPN3	1	1	479	0.2%	No
VPS35L	2	2	479	0.4%	No
SPON2	1	1	479	0.2%	No
ERRFI1	1	1	479	0.2%	Yes
PLEKHB2	1	1	479	0.2%	No
JMJD1C	4	4	479	0.8%	No
KANTR	1	1	479	0.2%	No
ZDHHC3	1	1	479	0.2%	No
TXNDC16	1	1	479	0.2%	No
CCAR2	1	1	479	0.2%	No
CYB5D2	1	1	479	0.2%	No
RASSF3	2	2	479	0.4%	No
CARD17P	2	2	479	0.4%	No
RASSF5	1	1	479	0.2%	No
MIR-1204/1204	1	1	479	0.2%	No
ENTPD1	1	1	479	0.2%	No
EPHA7	1	1	479	0.2%	Yes
ST6GAL1	1	1	479	0.2%	No
EPHA6	3	2	479	0.4%	No
PHYKPL	1	1	479	0.2%	No
PAQR3	2	2	479	0.4%	No
ANK3	1	1	479	0.2%	No
THAP4	1	1	479	0.2%	No
SHTN1	1	1	479	0.2%	No
SPATA17	1	1	479	0.2%	No
FNDC1	1	1	479	0.2%	No
ZNF716	1	1	479	0.2%	No
SPATA13	1	1	479	0.2%	No
ULK2	1	1	479	0.2%	No
EPHA1	1	1	479	0.2%	No
MMADHC	1	1	479	0.2%	No
PLA1A	2	2	479	0.4%	No
PPP1R37	1	1	479	0.2%	No
PIK3R3	2	2	479	0.4%	Yes
PIK3R1	1	1	479	0.2%	Yes
RTF1	1	1	479	0.2%	No
CD1C	1	1	479	0.2%	No
ZMPSTE24	1	1	479	0.2%	No
DHX30	3	2	479	0.4%	No
DHX33	1	1	479	0.2%	No
MIER3	1	1	479	0.2%	No
ZNF704	1	1	479	0.2%	No
TSPAN4	1	1	479	0.2%	No
DYM	2	2	479	0.4%	No
SNX9	2	2	479	0.4%	No
HIVEP3	2	2	479	0.4%	No
PCAT14	1	1	479	0.2%	No
SNX7	1	1	479	0.2%	No
RAB11FIP4	1	1	479	0.2%	No
CLHC1	1	1	479	0.2%	No
SEC31A	2	2	479	0.4%	Yes
SNX6	1	1	479	0.2%	No
WWTR1	1	1	479	0.2%	Yes
INTS1	2	1	479	0.2%	No
XRCC5	1	1	479	0.2%	No
IQSEC1	1	1	479	0.2%	No
PPP1R21	1	1	479	0.2%	No
MICAL3	1	1	479	0.2%	No
MICAL2	1	1	479	0.2%	No
DCLK2	1	1	479	0.2%	No
DCLK1	1	1	479	0.2%	No
ACER2	1	1	479	0.2%	No
TF	1	1	479	0.2%	No
WNK2	1	1	479	0.2%	No
PEMT	1	1	479	0.2%	No
INTS4	1	1	479	0.2%	No
INTS7	1	1	479	0.2%	No
RGL3	1	1	479	0.2%	No
INTS9	1	1	479	0.2%	No
RETREG1	1	1	479	0.2%	No
INTS8	1	1	479	0.2%	No
KIAA0825	3	3	479	0.6%	No
PTPRT	1	1	479	0.2%	Yes
INTS12	2	1	479	0.2%	No
CCDC122	3	2	479	0.4%	No
PTPRR	1	1	479	0.2%	No
USPL1	1	1	479	0.2%	No
CCDC120	1	1	479	0.2%	No
ZNF22-AS1	1	1	479	0.2%	No
FKBP15	1	1	479	0.2%	No
CCDC125	1	1	479	0.2%	No
PTPRO	1	1	479	0.2%	Yes
AATK	1	1	479	0.2%	No
PTPRJ	1	1	479	0.2%	No
BRCA1	3	2	479	0.4%	Yes
IDE	1	1	479	0.2%	No
WASL	1	1	479	0.2%	No
PEPD	1	1	479	0.2%	No
PPP1R18	1	1	479	0.2%	No
CTSS	1	1	479	0.2%	No
PTPRG	2	2	479	0.4%	No
ACADL	1	1	479	0.2%	No
HYAL3	2	2	479	0.4%	No
ENC1	1	1	479	0.2%	No
DHX15	1	1	479	0.2%	No
KIF1C	2	1	479	0.2%	No
CCR7	1	1	479	0.2%	No
LMCD1	1	1	479	0.2%	No
NDEL1	3	1	479	0.2%	No
CCT3	2	2	479	0.4%	No
NCOA2	2	2	479	0.4%	Yes
TMEM150A	1	1	479	0.2%	No
NXPE1	1	1	479	0.2%	No
NCOA4	3	3	479	0.6%	Yes
MINK1	2	2	479	0.4%	No
NXPE2	1	1	479	0.2%	No
KIF25	1	1	479	0.2%	No
PLAAT3	1	1	479	0.2%	No
ANO7	2	2	479	0.4%	No
SORCS2	1	1	479	0.2%	No
MRPS6	1	1	479	0.2%	No
OOEP	2	2	479	0.4%	No
VSNL1	1	1	479	0.2%	No
BANK1	4	4	479	0.8%	No
PDZRN3	3	3	479	0.6%	No
PDZRN4	2	2	479	0.4%	No
CD63	1	1	479	0.2%	No
RAMP2	1	1	479	0.2%	No
RABGAP1	1	1	479	0.2%	No
STX17	1	1	479	0.2%	No
SATB1	1	1	479	0.2%	No
PVT1	3	3	479	0.6%	No
C22ORF31	1	1	479	0.2%	No
DOT1L	1	1	479	0.2%	Yes
TMPRSS2	229	197	479	41.1%	Yes
TXLNG	1	1	479	0.2%	No
DEFB123	1	1	479	0.2%	No
CAMKK2	4	4	479	0.8%	No
EXOSC7	1	1	479	0.2%	No
PAK1	1	1	479	0.2%	Yes
ALS2CL	1	1	479	0.2%	No
PERP	2	2	479	0.4%	No
HSF1	1	1	479	0.2%	No
CCT7	1	1	479	0.2%	No
MARCHF4	1	1	479	0.2%	No
PAK2	1	1	479	0.2%	No
CAVIN1	1	1	479	0.2%	No
ERCC6L2	4	3	479	0.6%	No
CRYBB1	2	2	479	0.4%	No
AKR1C1	1	1	479	0.2%	No
PLEKHA7	1	1	479	0.2%	No
PLEKHA8	1	1	479	0.2%	No
FKBP1A	1	1	479	0.2%	No
PER2	1	1	479	0.2%	No
PER1	1	1	479	0.2%	Yes
CMSS1	1	1	479	0.2%	No
CCNG2	1	1	479	0.2%	No
AUNIP	2	1	479	0.2%	No
FAM171B	1	1	479	0.2%	No
CD68	1	1	479	0.2%	No
RLIG1	1	1	479	0.2%	No
FOXA1	3	3	479	0.6%	Yes
SCARB1	1	1	479	0.2%	No
DCLRE1A	1	1	479	0.2%	No
CD80	1	1	479	0.2%	No
WWC1	1	1	479	0.2%	No
CCDC169	1	1	479	0.2%	No
WBP1L	3	2	479	0.4%	No
JADE2	1	1	479	0.2%	No
GXYLT2	1	1	479	0.2%	No
CCND3	1	1	479	0.2%	Yes
RGS3	1	1	479	0.2%	No
KIF5B	1	1	479	0.2%	Yes
KHSRP	1	1	479	0.2%	No
FAM174A	1	1	479	0.2%	No
PPFIA1	1	1	479	0.2%	No
EP300	1	1	479	0.2%	Yes
OSTF1	1	1	479	0.2%	No
EPPIN	1	1	479	0.2%	No
ACAA1	1	1	479	0.2%	No
GGT1	1	1	479	0.2%	No
SLC30A6	2	1	479	0.2%	No
HFM1	1	1	479	0.2%	No
SLC30A5	1	1	479	0.2%	No
SLC30A4	3	3	479	0.6%	No
THEMIS	1	1	479	0.2%	No
PLA2G15	1	1	479	0.2%	No
HNRNPUL1	2	2	479	0.4%	No
GPD2	1	1	479	0.2%	No
DOK7	1	1	479	0.2%	No
UBE2V2	1	1	479	0.2%	No
GEMIN4	1	1	479	0.2%	No
VCL	3	1	479	0.2%	No
PSMD11	2	2	479	0.4%	No
RTN1	1	1	479	0.2%	No
TMED10	1	1	479	0.2%	No
NDRG3	1	1	479	0.2%	No
YTHDC1	1	1	479	0.2%	No
SEL1L	1	1	479	0.2%	No
CCDC146	1	1	479	0.2%	No
ATP5MC2	1	1	479	0.2%	No
TOR1AIP2	1	1	479	0.2%	No
KIR2DL1	1	1	479	0.2%	No
PDS5B	2	2	479	0.4%	Yes
ACACB	2	2	479	0.4%	No
KIR2DL3	1	1	479	0.2%	No
NDRG1	5	5	479	1.0%	Yes
ACACA	1	1	479	0.2%	No
BRINP1	1	1	479	0.2%	No
CLTRN	1	1	479	0.2%	No
FUT9	1	1	479	0.2%	No
ISOC1	1	1	479	0.2%	No
CAMTA1	1	1	479	0.2%	Yes
UTP20	1	1	479	0.2%	No
LELP1	1	1	479	0.2%	No
PRODH	1	1	479	0.2%	No
GCN1	1	1	479	0.2%	No
FDPS	1	1	479	0.2%	No
ITPRID2	1	1	479	0.2%	No
MIR9-1HG	1	1	479	0.2%	No
ZFHX3	6	6	479	1.3%	Yes
PHF10	1	1	479	0.2%	No
PHF12	1	1	479	0.2%	No
ARHGEF38	2	2	479	0.4%	No
CRIM1	1	1	479	0.2%	No
DSTN	1	1	479	0.2%	No
NFXL1	1	1	479	0.2%	No
KLHL23	1	1	479	0.2%	No
KLHL24	1	1	479	0.2%	No
CYRIB	1	1	479	0.2%	No
ZFHX4	1	1	479	0.2%	No
CYRIA	2	2	479	0.4%	No
CLK2	1	1	479	0.2%	No
GULP1	2	2	479	0.4%	No
AFDN	3	3	479	0.6%	Yes
CPS1	1	1	479	0.2%	Yes
FMC1	1	1	479	0.2%	No
IL9	1	1	479	0.2%	No
RSRP1	3	3	479	0.6%	No
C16ORF46	2	1	479	0.2%	No
TAB2	1	1	479	0.2%	No
STT3B	1	1	479	0.2%	No
LSM14A	1	1	479	0.2%	No
PICALM	1	1	479	0.2%	Yes
GSK3B	8	8	479	1.7%	Yes
RBM28	1	1	479	0.2%	No
GSK3A	1	1	479	0.2%	No
RBM25	1	1	479	0.2%	No
DDX3X	1	1	479	0.2%	Yes
DDX47	1	1	479	0.2%	No
CHD9	2	2	479	0.4%	No
MAST2	2	2	479	0.4%	No
CHD8	1	1	479	0.2%	No
ATP2A3	1	1	479	0.2%	No
CHD6	2	2	479	0.4%	No
LAMC2	1	1	479	0.2%	No
CHD3	1	1	479	0.2%	No
AFF3	3	3	479	0.6%	Yes
CHD1	2	2	479	0.4%	No
AFF4	3	2	479	0.4%	Yes
AFF1	3	3	479	0.6%	Yes
GPHN	3	3	479	0.6%	Yes
SEPTIN11	1	1	479	0.2%	No
ARMH4	1	1	479	0.2%	No
ZNF385D	2	2	479	0.4%	No
CFAP52	1	1	479	0.2%	No
ARHGEF12	1	1	479	0.2%	Yes
DYNLT1	1	1	479	0.2%	No
EED	1	1	479	0.2%	Yes
DDX55	1	1	479	0.2%	No
BCKDHB	2	1	479	0.2%	No
RBM19	1	1	479	0.2%	No
PEX2	1	1	479	0.2%	No
PEX1	1	1	479	0.2%	No
CIP2A	1	1	479	0.2%	No
MMP9	1	1	479	0.2%	No
YWHAZ	1	1	479	0.2%	No
DARS1	2	2	479	0.4%	No
CCNA1	1	1	479	0.2%	No
CREB1	1	1	479	0.2%	Yes
H2BC15	1	1	479	0.2%	No
UBE2R2	1	1	479	0.2%	No
INTS4P1	1	1	479	0.2%	No
IRF2	1	1	479	0.2%	Yes
NDUFS4	1	1	479	0.2%	No
CDHR2	1	1	479	0.2%	No
NDUFS3	1	1	479	0.2%	No
ATG4C	2	2	479	0.4%	No
CCDC192	1	1	479	0.2%	No
CFAP57	2	2	479	0.4%	No
ZP3	1	1	479	0.2%	No
INA	2	2	479	0.4%	No
BLVRA	1	1	479	0.2%	No
TMEM45A	1	1	479	0.2%	No
RBM47	3	3	479	0.6%	No
CCDC186	1	1	479	0.2%	No
NAA20	1	1	479	0.2%	No
LAMA3	1	1	479	0.2%	No
DDX23	2	2	479	0.4%	No
RRBP1	2	2	479	0.4%	No
MAT2B	1	1	479	0.2%	No
ATP2C1	2	1	479	0.2%	No
CLN6	1	1	479	0.2%	No
ERLEC1	1	1	479	0.2%	No
PDLIM3	2	2	479	0.4%	No
RAB40B	1	1	479	0.2%	No
TNKS2	1	1	479	0.2%	No
BMS1	1	1	479	0.2%	No
NAA25	1	1	479	0.2%	No
GALNT7	3	3	479	0.6%	No
CCDC178	1	1	479	0.2%	No
RBM39	1	1	479	0.2%	No
GALNT5	1	1	479	0.2%	No
GALNT3	1	1	479	0.2%	No
EGF	1	1	479	0.2%	No
PLA2G2A	1	1	479	0.2%	No
ACVR2A	1	1	479	0.2%	Yes
MAPK12	1	1	479	0.2%	No
U2SURP	1	1	479	0.2%	No
MAPK10	1	1	479	0.2%	No
PNKD	1	1	479	0.2%	No
GOLPH3	1	1	479	0.2%	No
ABHD17B	2	2	479	0.4%	No
GLB1	1	1	479	0.2%	No
ABHD17A	1	1	479	0.2%	No
SPATA33	1	1	479	0.2%	No
SHLD2	2	2	479	0.4%	No
ASB8	1	1	479	0.2%	No
TAF8	1	1	479	0.2%	No
ASB7	1	1	479	0.2%	No
S100P	1	1	479	0.2%	No
FAM98A	1	1	479	0.2%	No
PMFBP1	2	2	479	0.4%	No
CLUAP1	2	2	479	0.4%	No
R3HDM2	2	2	479	0.4%	No
VIT	1	1	479	0.2%	No
ROPN1B	1	1	479	0.2%	No
RPL5	2	2	479	0.4%	Yes
PATJ	1	1	479	0.2%	No
TRIO	1	1	479	0.2%	No
RPL32	1	1	479	0.2%	No
DPY19L2P3	1	1	479	0.2%	No
TRRAP	1	1	479	0.2%	Yes
COL12A1	1	1	479	0.2%	No
STMN2	2	2	479	0.4%	No
STMN3	1	1	479	0.2%	No
YWHAH-AS1	1	1	479	0.2%	No
DCAF5	2	2	479	0.4%	No
GLDN	1	1	479	0.2%	No
DCAF6	1	1	479	0.2%	No
PCMT1	1	1	479	0.2%	No
MYC	2	2	479	0.4%	Yes
MS4A15	1	1	479	0.2%	No
HOXA1	1	1	479	0.2%	No
DIP2A	1	1	479	0.2%	No
RNF111	1	1	479	0.2%	No
RPL23	1	1	479	0.2%	No
AARSD1	1	1	479	0.2%	No
MED4	1	1	479	0.2%	No
CLPX	1	1	479	0.2%	No
DYNC1LI1	1	1	479	0.2%	No
IFT81	2	2	479	0.4%	No
GPR161	1	1	479	0.2%	No
SARNP	3	3	479	0.6%	No
GPR160	1	1	479	0.2%	No
PRR16	2	2	479	0.4%	No
RPL26	1	1	479	0.2%	No
MAML3	1	1	479	0.2%	No
GPLD1	1	1	479	0.2%	No
LINS1	1	1	479	0.2%	No
RNF121	2	2	479	0.4%	No
RPN2	1	1	479	0.2%	No
SRCAP	1	1	479	0.2%	No
RPN1	1	1	479	0.2%	Yes
NEDD4L	8	7	479	1.5%	No
VPS26A	1	1	479	0.2%	No
SLAIN1	1	1	479	0.2%	No
GLG1	1	1	479	0.2%	No
ABR	1	1	479	0.2%	No
CHST12	1	1	479	0.2%	No
SSR1	1	1	479	0.2%	No
ZNF148	1	1	479	0.2%	No
RREB1	3	3	479	0.6%	No
SERF2	1	1	479	0.2%	No
CDK18	1	1	479	0.2%	No
ST14	1	1	479	0.2%	No
FZD3	1	1	479	0.2%	No
DNAH11	1	1	479	0.2%	No
CDK19	1	1	479	0.2%	No
ZNF140	1	1	479	0.2%	No
RAB3IP	1	1	479	0.2%	No
SLC16A12	1	1	479	0.2%	No
PRRC2C	1	1	479	0.2%	No
SLC16A11	1	1	479	0.2%	No
BRAF	2	2	479	0.4%	Yes
CDC6	1	1	479	0.2%	No
GPN2	1	1	479	0.2%	No
ST18	3	3	479	0.6%	No
PRRC2B	1	1	479	0.2%	No
CYLD	1	1	479	0.2%	Yes
GLUD1	1	1	479	0.2%	No
PNOC	1	1	479	0.2%	No
RAD17	1	1	479	0.2%	Yes
HBP1	1	1	479	0.2%	No
CDK12	2	2	479	0.4%	Yes
GALNTL6	1	1	479	0.2%	No
CPEB3	1	1	479	0.2%	No
CDK14	4	4	479	0.8%	No
CPEB2	1	1	479	0.2%	No
CDC42SE2	1	1	479	0.2%	No
TRMU	1	1	479	0.2%	No
CYMP	1	1	479	0.2%	No
CLTC	1	1	479	0.2%	Yes
ADK	1	1	479	0.2%	No
FMN2	1	1	479	0.2%	No
CYB561D1	1	1	479	0.2%	No
PFAS	1	1	479	0.2%	No
CYB561D2	2	2	479	0.4%	No
MRC2	1	1	479	0.2%	No
ING2	1	1	479	0.2%	No
IMPA1	1	1	479	0.2%	No
IMPA2	1	1	479	0.2%	No
RSPO2	2	2	479	0.4%	Yes
AP3S1	2	2	479	0.4%	No
RIOK1	2	2	479	0.4%	No
C16ORF74	1	1	479	0.2%	No
GARNL3	1	1	479	0.2%	No
BRD2	1	1	479	0.2%	No
BATF2	1	1	479	0.2%	No
IFNGR1	1	1	479	0.2%	Yes
TESC	1	1	479	0.2%	No
SLC2A13	1	1	479	0.2%	No
FAAHP1	1	1	479	0.2%	No
TCF12	4	4	479	0.8%	Yes
TNNC2	1	1	479	0.2%	No
TET1	1	1	479	0.2%	Yes
BACE2	2	2	479	0.4%	No
RNF167	1	1	479	0.2%	No
LSG1	1	1	479	0.2%	No
FAM234B	1	1	479	0.2%	No
MRAS	1	1	479	0.2%	No
TET3	2	2	479	0.4%	Yes
ZNF596	1	1	479	0.2%	No
OCA2	1	1	479	0.2%	No
ASAH1	1	1	479	0.2%	No
CTDP1	1	1	479	0.2%	No
GPS2	1	1	479	0.2%	Yes
FIGN	1	1	479	0.2%	No
TMEM163	2	1	479	0.2%	No
TM9SF4	2	2	479	0.4%	No
TM9SF3	1	1	479	0.2%	No
MIPOL1	1	1	479	0.2%	No
RNF139	1	1	479	0.2%	No
RPL14	1	1	479	0.2%	No
ZNF589	2	2	479	0.4%	No
LINC-PINT	5	5	479	1.0%	No
RNF130	1	1	479	0.2%	No
DTD1	2	2	479	0.4%	No
BRD4	1	1	479	0.2%	Yes
CCL25	1	1	479	0.2%	No
SF3A3	1	1	479	0.2%	No
SF3A1	1	1	479	0.2%	No
SF3A2	1	1	479	0.2%	No
RIOK3	1	1	479	0.2%	No
AGK	2	2	479	0.4%	No
AGL	1	1	479	0.2%	No
FMO1	1	1	479	0.2%	No
CERNA1	1	1	479	0.2%	No
NMNAT3	2	2	479	0.4%	No
TYW1B	1	1	479	0.2%	No
NMNAT2	1	1	479	0.2%	No
SEPTIN9	1	1	479	0.2%	Yes
GUCA2A	2	1	479	0.2%	No
TM9SF2	1	1	479	0.2%	No
FIG4	1	1	479	0.2%	No
GPR141	1	1	479	0.2%	No
AGBL4	1	1	479	0.2%	No
RYBP	1	1	479	0.2%	Yes
MORN5	2	1	479	0.2%	No
VEPH1	3	3	479	0.6%	No
RLIM	2	2	479	0.4%	No
CYB561	1	1	479	0.2%	No
EEF1AKMT2	1	1	479	0.2%	No
DGKG	2	2	479	0.4%	No
CHRM3	3	2	479	0.4%	No
SEMA5B	1	1	479	0.2%	No
PHLDB1	1	1	479	0.2%	No
ATP8A1	1	1	479	0.2%	No
DGKB	1	1	479	0.2%	No
TUSC3	1	1	479	0.2%	Yes
CLSTN3	1	1	479	0.2%	No
DGKA	1	1	479	0.2%	No
CTNND1	1	1	479	0.2%	No
CLSTN1	1	1	479	0.2%	No
RTKN2	2	1	479	0.2%	No
IRS2	2	2	479	0.4%	Yes
BZW1	1	1	479	0.2%	No
CDH3	1	1	479	0.2%	No
CDH1	2	2	479	0.4%	Yes
TUBB3	1	1	479	0.2%	No
RNF19A	2	2	479	0.4%	No
GRB10	1	1	479	0.2%	No
MACROD2	3	3	479	0.6%	No
MAF1	1	1	479	0.2%	No
ZNF564	1	1	479	0.2%	No
CD177	1	1	479	0.2%	No
TECTB	1	1	479	0.2%	No
TPD52	2	2	479	0.4%	No
RNF43	1	1	479	0.2%	Yes
IGFBP5	1	1	479	0.2%	No
ANKRD46	1	1	479	0.2%	No
IGFBP2	1	1	479	0.2%	No
MITF	1	1	479	0.2%	Yes
RNF41	2	2	479	0.4%	No
ENKUR	1	1	479	0.2%	No
C1ORF116	1	1	479	0.2%	No
C1ORF115	1	1	479	0.2%	No
ANKRD42	1	1	479	0.2%	No
ADAM9	2	2	479	0.4%	No
ERP27	1	1	479	0.2%	No
MALAT1	1	1	479	0.2%	No
ERG	214	197	479	41.1%	Yes
NOTCH2	1	1	479	0.2%	Yes
ENY2	2	1	479	0.2%	No
CEMIP	1	1	479	0.2%	No
ANKRD16	2	2	479	0.4%	No
MINDY4	1	1	479	0.2%	No
FECH	1	1	479	0.2%	No
CUL5	1	1	479	0.2%	No
TNKS	1	1	479	0.2%	No
GLO1	1	1	479	0.2%	No
ANKRD11	1	1	479	0.2%	Yes
CUL2	1	1	479	0.2%	No
ITPR2	1	1	479	0.2%	No
ILDR2	1	1	479	0.2%	No
RASAL2	4	3	479	0.6%	No
AK5	1	1	479	0.2%	No
GPATCH2L	1	1	479	0.2%	No
RLF	1	1	479	0.2%	No
GTF2E2	1	1	479	0.2%	No
PHF21A	1	1	479	0.2%	No
RHOBTB2	1	1	479	0.2%	No
HOTAIRM1	1	1	479	0.2%	No
RAD51AP2	1	1	479	0.2%	No
SAFB2	2	2	479	0.4%	No
RNF170	2	2	479	0.4%	No
UGT3A2	1	1	479	0.2%	No
SKIL	2	2	479	0.4%	No
SLC15A4	1	1	479	0.2%	No
MPDU1	1	1	479	0.2%	No
ANKRD29	1	1	479	0.2%	No
ATP8B4	1	1	479	0.2%	No
TOR1A	1	1	479	0.2%	No
SLC37A1	1	1	479	0.2%	No
ATP8B2	1	1	479	0.2%	No
ANKRD24	1	1	479	0.2%	No
CEP350	2	2	479	0.4%	No
ANKRD22	2	2	479	0.4%	No
TNK1	1	1	479	0.2%	No
LSM1	1	1	479	0.2%	No
DHCR24	3	3	479	0.6%	No
ABHD18	1	1	479	0.2%	No
BTBD9	2	2	479	0.4%	No
HOPX	1	1	479	0.2%	No
ABHD15	1	1	479	0.2%	No
MOB1B	1	1	479	0.2%	No
MOB1A	1	1	479	0.2%	No
CDK7	2	2	479	0.4%	No
LSM7	1	1	479	0.2%	No
SCCPDH	3	2	479	0.4%	No
GON4L	1	1	479	0.2%	No
YEATS2	1	1	479	0.2%	No
RHEB	2	1	479	0.2%	Yes
ZFP64	1	1	479	0.2%	No
NF1	4	2	479	0.4%	Yes
SERINC1	1	1	479	0.2%	No
GPR107	1	1	479	0.2%	No
EFHB	1	1	479	0.2%	No
EIF4G3	3	2	479	0.4%	No
ZNF532	1	1	479	0.2%	No
EIF4G2	1	1	479	0.2%	No
SERINC5	5	3	479	0.6%	No
EIF4G1	1	1	479	0.2%	No
WRAP53	3	3	479	0.6%	No
FCGR1BP	1	1	479	0.2%	No
RNF10	1	1	479	0.2%	No
DAGLA	1	1	479	0.2%	No
EIF4E3	1	1	479	0.2%	No
KIAA1671	3	3	479	0.6%	No
GADL1	1	1	479	0.2%	No
C1ORF174	1	1	479	0.2%	No
PTPN23	1	1	479	0.2%	No
DUSP15	1	1	479	0.2%	No
DUSP11	1	1	479	0.2%	No
PTBP1	1	1	479	0.2%	No
SGCD	2	2	479	0.4%	No
METTL13	1	1	479	0.2%	No
PSD2	1	1	479	0.2%	No
SIN3A	1	1	479	0.2%	No
PSD3	1	1	479	0.2%	No
CNGA1	1	1	479	0.2%	No
HYDIN	1	1	479	0.2%	No
ZNF521	1	1	479	0.2%	Yes
SH3D19	1	1	479	0.2%	No
COL25A1	1	1	479	0.2%	No
ELAC2	1	1	479	0.2%	No
LIX1L	1	1	479	0.2%	No
SORD	1	1	479	0.2%	No
REXO2	1	1	479	0.2%	No
PATL1	1	1	479	0.2%	No
NIPSNAP2	1	1	479	0.2%	No
DUSP22	1	1	479	0.2%	Yes
SARS1	1	1	479	0.2%	No
RPL37A	1	1	479	0.2%	No
SCGB2A2	1	1	479	0.2%	No
EVL	1	1	479	0.2%	No
EFHC2	1	1	479	0.2%	No
NFAT5	1	1	479	0.2%	No
GTF2A2	1	1	479	0.2%	No
ACSS3	1	1	479	0.2%	No
SEMA3D	1	1	479	0.2%	No
RNF38	1	1	479	0.2%	No
ITLN1	2	2	479	0.4%	No
AMBRA1	1	1	479	0.2%	No
MESD	1	1	479	0.2%	No
EP400P1	1	1	479	0.2%	No
ENOX2	1	1	479	0.2%	No
AP3M2	1	1	479	0.2%	No
MROH1	1	1	479	0.2%	No
FZR1	2	2	479	0.4%	Yes
MAL2	1	1	479	0.2%	Yes
UGGT2	1	1	479	0.2%	No
DCAF11	1	1	479	0.2%	No
UGGT1	1	1	479	0.2%	No
FNIP2	2	2	479	0.4%	No
SKOR2	1	1	479	0.2%	No
KCNJ13	1	1	479	0.2%	No
TXNRD1	1	1	479	0.2%	No
SEMA4B	1	1	479	0.2%	No
EFL1	1	1	479	0.2%	No
SEMA4C	1	1	479	0.2%	No
KCNIP4	1	1	479	0.2%	No
KLF4	1	1	479	0.2%	Yes
OXR1	1	1	479	0.2%	No
TPCN2	2	2	479	0.4%	No
CUL4A	1	1	479	0.2%	Yes
CLEC2A	2	1	479	0.2%	No
APC	2	2	479	0.4%	Yes
MNDA	1	1	479	0.2%	No
APP	1	1	479	0.2%	No
ACSM3	1	1	479	0.2%	No
GDE1	1	1	479	0.2%	No
ANTXR2	4	4	479	0.8%	No
LRMDA	2	2	479	0.4%	No
GOLGA4	2	2	479	0.4%	No
ZNF609	2	2	479	0.4%	No
ARL6IP5	1	1	479	0.2%	No
KIFAP3	1	1	479	0.2%	No
MYOZ2	1	1	479	0.2%	No
TNS3	1	1	479	0.2%	No
AGFG2	1	1	479	0.2%	No
EYS	3	2	479	0.4%	No
SLC6A19	1	1	479	0.2%	No
SLC11A2	1	1	479	0.2%	No
ACSL6	1	1	479	0.2%	Yes
MRPS18B	1	1	479	0.2%	No
MTUS1	1	1	479	0.2%	No
ACSL3	2	2	479	0.4%	Yes
ZPBP	1	1	479	0.2%	No
INPP4B	1	1	479	0.2%	Yes
PLPP5	2	1	479	0.2%	No
CRYZL1	1	1	479	0.2%	No
AKAP9	1	1	479	0.2%	No
VDAC3	2	2	479	0.4%	No
VDAC2	1	1	479	0.2%	No
WDPCP	1	1	479	0.2%	No
EZR	2	2	479	0.4%	Yes
ZFPM2	1	1	479	0.2%	No
PLPP1	11	10	479	2.1%	No
TELO2	1	1	479	0.2%	No
LLGL2	1	1	479	0.2%	No
EIF5A2	1	1	479	0.2%	No
TMTC3	2	2	479	0.4%	No
MGST2	2	2	479	0.4%	No
SGPL1	1	1	479	0.2%	No
PRRC1	1	1	479	0.2%	No
MAP7	3	3	479	0.6%	No
DPH5	1	1	479	0.2%	No
MAP4	1	1	479	0.2%	No
CDR2	1	1	479	0.2%	No
GPM6B	1	1	479	0.2%	No
NTSR2	1	1	479	0.2%	No
BANP	1	1	479	0.2%	No
WFDC13	1	1	479	0.2%	No
SRPK2	3	3	479	0.6%	No
SNHG1	1	1	479	0.2%	No
